                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57464,                 2.4865,                 1.1121,                0.74371,                0.13333,                0.34319,                0.14022,                 1.2501,                 3.4659,                 1.8099,             0.00038583,             0.00038583,             0.00038583
                      2,                0.47892,                 1.4773,                 1.0385,                0.39742,                0.60594,                0.52985,                0.32731,                0.94412,                 2.9906,                 1.6315,             0.00078465,             0.00078465,             0.00078465
                      3,                0.46123,                  1.235,                 1.0279,                0.29987,                0.66074,                0.60609,                0.32569,                 1.2226,                 3.3465,                 2.0744,              0.0011822,              0.0011822,              0.0011822
                      4,                  0.507,                 1.1813,                 1.0525,                0.44634,                0.53941,                0.40897,                0.25208,                0.95058,                 4.0236,                 1.7177,              0.0014219,              0.0014219,              0.0014219
                      5,                0.52117,                 1.0803,                 1.0456,                0.68079,                0.78827,                0.80679,                0.68368,                0.62056,                 1.6376,                 1.2067,              0.0014219,              0.0014219,              0.0014219
                      6,                0.51657,                0.98099,                 1.0495,                0.40717,                0.46381,                0.32238,                0.19885,                  1.265,                 3.6198,                 1.9362,              0.0014196,              0.0014196,              0.0014196
                      7,                0.51212,                0.94252,                 1.0266,                0.53355,                0.71972,                  0.724,                0.51232,                0.81499,                 2.5263,                  1.622,              0.0014172,              0.0014172,              0.0014172
                      8,                0.47566,                0.85764,                 1.0327,                 0.9375,                0.72065,                0.83901,                0.73209,                0.56439,                 1.1036,                 1.1496,              0.0014149,              0.0014149,              0.0014149
                      9,                0.45151,                0.79794,                 1.0097,                0.78578,                0.36212,                0.51797,                0.39871,                 1.2987,                 1.9926,                 2.0458,              0.0014125,              0.0014125,              0.0014125
                     10,                0.45119,                0.76902,                 1.0088,                0.66649,                0.26505,                0.35662,                0.25196,                 1.8215,                  3.163,                 2.8056,              0.0014101,              0.0014101,              0.0014101
                     11,                0.44378,                0.75055,                 1.0018,                 0.8941,                0.75421,                0.87701,                0.75998,                0.53284,                0.91962,                 1.0674,              0.0014078,              0.0014078,              0.0014078
                     12,                0.44237,                 0.7038,                      1,                0.83671,                 0.7694,                0.84675,                 0.7078,                0.59184,                 1.0923,                 1.2007,              0.0014054,              0.0014054,              0.0014054
                     13,                0.40883,                0.68212,                 0.9742,                0.58959,                0.67148,                0.61126,                0.50853,                0.60537,                 1.7682,                 1.2027,              0.0014031,              0.0014031,              0.0014031
                     14,                0.40295,                0.63733,                0.97754,                0.86268,                0.77977,                0.88257,                0.75075,                0.57263,                0.95149,                 1.2062,              0.0014007,              0.0014007,              0.0014007
                     15,                0.42581,                0.63195,                0.99814,                0.85189,                0.87238,                0.91674,                0.81478,                 0.5048,                0.73747,                 1.1331,              0.0013983,              0.0013983,              0.0013983
                     16,                0.39123,                0.63219,                0.96745,                0.80845,                0.78572,                0.87819,                0.77612,                0.51421,                0.81264,                 1.1407,               0.001396,               0.001396,               0.001396
                     17,                0.38069,                0.58298,                0.95918,                0.92091,                0.68867,                0.87238,                0.74315,                0.57027,                0.86541,                 1.1293,              0.0013936,              0.0013936,              0.0013936
                     18,                0.40167,                 0.5978,                0.97833,                0.77908,                0.44486,                 0.4992,                0.37707,                 1.0312,                 2.1262,                 2.0192,              0.0013913,              0.0013913,              0.0013913
                     19,                0.36818,                0.56585,                0.96745,                0.96864,                0.89773,                0.94168,                0.79447,                0.54131,                0.73111,                 1.1952,              0.0013889,              0.0013889,              0.0013889
