                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  94.14,                      0,                      0,                      0,                      0,                      0,                      0,                    130,                      0,             0.00047332,             0.00047332,             0.00047332
                      2,                      0,                 50.848,                      0,                      0,                      0,                      0,                      0,                      0,                  18757,                      0,             0.00094025,             0.00094025,             0.00094025
                      3,                      0,                 18.121,                      0,                      0,                      0,                      0,                      0,                      0,                0.00077,                      0,              0.0013978,              0.0013978,              0.0013978
                      4,                      0,                 3.9364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013866,              0.0013866,              0.0013866
                      5,                      0,                0.68241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013866,              0.0013866,              0.0013866
                      6,                      0,                0.10193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013724,              0.0013724,              0.0013724
                      7,                      0,                0.01313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013583,              0.0013583,              0.0013583
                      8,                      0,                0.00775,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013441,              0.0013441,              0.0013441
                      9,                      0,                0.00609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00133,                0.00133,                0.00133
                     10,                      0,                  0.002,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013158,              0.0013158,              0.0013158
                     11,                      0,                 0.0012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013017,              0.0013017,              0.0013017
                     12,                      0,                0.00115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012875,              0.0012875,              0.0012875
                     13,                      0,                0.00114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012734,              0.0012734,              0.0012734
                     14,                      0,                0.00112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012592,              0.0012592,              0.0012592
                     15,                      0,                0.00101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012451,              0.0012451,              0.0012451
                     16,                      0,                 0.0007,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012309,              0.0012309,              0.0012309
                     17,                      0,                0.00034,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012168,              0.0012168,              0.0012168
                     18,                      0,                0.00014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012026,              0.0012026,              0.0012026
                     19,                      0,                  4e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011885,              0.0011885,              0.0011885
                     20,                      0,                  1e-05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011744,              0.0011744,              0.0011744
                     21,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011602,              0.0011602,              0.0011602
                     22,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011461,              0.0011461,              0.0011461
                     23,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011319,              0.0011319,              0.0011319
                     24,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011178,              0.0011178,              0.0011178
                     25,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011036,              0.0011036,              0.0011036
                     26,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010895,              0.0010895,              0.0010895
                     27,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010753,              0.0010753,              0.0010753
                     28,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010612,              0.0010612,              0.0010612
                     29,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001047,               0.001047,               0.001047
                     30,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010329,              0.0010329,              0.0010329
                     31,                      0,                0.00025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010187,              0.0010187,              0.0010187
