                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97726,                 3.2345,                 1.3796,                0.00341,                      1,                0.09866,                0.03685,                0.76318,                 3.5099,                 1.3738,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 0.8013,                  3.069,                 1.2795,                0.00377,                      1,                0.32085,                0.22492,                0.63999,                 3.4816,                 1.2184,             0.00012224,             0.00012224,             0.00012224
                      3,                 0.6992,                 2.5534,                 1.2102,                0.00339,                      1,                 0.5472,                0.31266,                0.75996,                 3.4873,                 1.4087,             0.00018025,             0.00018025,             0.00018025
                      4,                0.72945,                 2.1814,                 1.2661,                0.00336,                      1,                0.51575,                0.22926,                 1.2026,                 3.4825,                 1.6968,             0.00023119,             0.00023119,             0.00023119
                      5,                 0.8085,                  1.991,                  1.262,                0.00341,                      1,                0.46346,                0.25506,                  1.066,                 3.3739,                  1.684,             0.00027505,             0.00027505,             0.00027505
                      6,                 0.6752,                 1.8379,                 1.1854,                0.00338,                      1,                0.47862,                0.26181,                 1.1606,                 3.3926,                  1.754,             0.00031184,             0.00031184,             0.00031184
                      7,                0.68139,                 1.6628,                 1.2029,                0.00337,                      1,                0.50216,                0.29968,                 1.2882,                 3.4022,                 1.8965,             0.00034156,             0.00034156,             0.00034156
                      8,                0.66438,                 1.5044,                 1.1827,                0.00335,                      1,                0.44716,                0.24218,                 1.3899,                 3.5276,                 2.0295,              0.0003642,              0.0003642,              0.0003642
                      9,                0.75787,                 1.5612,                 1.2149,                0.00348,                      1,                  0.491,                0.26639,                 1.3755,                 3.4502,                   2.07,             0.00037977,             0.00037977,             0.00037977
                     10,                 0.7137,                 1.3619,                 1.2087,                0.00343,                      1,                0.49736,                0.25526,                 1.5258,                 3.3644,                 2.3125,             0.00038827,             0.00038827,             0.00038827
                     11,                0.72105,                  2.169,                 1.4517,                0.00339,                      1,                0.21612,                0.07064,                 1.9704,                  4.162,                 2.8067,             0.00038969,             0.00038969,             0.00038969
                     12,                 0.7027,                 2.2116,                 1.4692,                0.00342,                      1,                0.51825,                0.22388,                 1.7341,                 3.6682,                 2.6503,             0.00038404,             0.00038404,             0.00038404
                     13,                0.66139,                 2.0268,                 1.3664,                0.56754,                      1,                0.79376,                0.44112,                  1.161,                 2.9572,                 2.0314,             0.00037131,             0.00037131,             0.00037131
                     14,                0.57569,                 1.7033,                 1.3325,                 0.6995,                 0.5573,                0.80532,                0.43641,                 1.3117,                 3.0609,                 2.0959,             0.00035151,             0.00035151,             0.00035151
                     15,                0.59316,                 1.6956,                 1.3083,                0.79886,                 0.5661,                0.76346,                0.35367,                 1.4588,                 3.2148,                 2.2629,             0.00032464,             0.00032464,             0.00032464
                     16,                0.59573,                 1.6587,                 1.3333,                0.79072,                0.55664,                0.78786,                0.41558,                 1.3792,                 3.0993,                 2.0455,             0.00029069,             0.00029069,             0.00029069
                     17,                0.55778,                 1.5374,                 1.2852,                0.81484,                0.66667,                 0.7769,                0.53806,                0.95686,                 2.8066,                  1.581,             0.00024967,             0.00024967,             0.00024967
                     18,                0.53963,                 1.5221,                  1.277,                 0.7926,                0.66667,                0.73779,                0.53066,                0.85618,                  2.719,                 1.4764,             0.00020158,             0.00020158,             0.00020158
                     19,                0.54654,                 1.5165,                 1.3014,                0.77146,                0.66667,                0.73614,                0.51933,                0.85829,                 2.6776,                 1.4609,             0.00014642,             0.00014642,             0.00014642
                     20,                0.52044,                 1.4597,                 1.2185,                0.62769,                0.73333,                0.78468,                0.55028,                0.86624,                 2.6027,                 1.4675,             8.4175e-05,             8.4175e-05,             8.4175e-05
